SiteCode,Plot,Competition,Rodents,Trt,Species,Fecundity,SeedSize_mg,Graminoid,Litterdepth,Year,numb,prec1,prod_m2
BN,244,-,+,-+,ACMI,1277,0.0884,10,6.083333333,Seedlings,13,0.01018011,338.4
BN,244,-,+,-+,ACMI,1277,0.0884,10,6.083333333,Adults_Y3,6,0.004698512,338.4
BN,244,-,+,-+,ANMI,1244,0.0441,10,6.083333333,Seedlings,0,0,338.4
BN,244,-,+,-+,ANMI,1244,0.0441,10,6.083333333,Adults_Y3,0,0,338.4
BN,244,-,+,-+,ARLU,4919,0.14,10,6.083333333,Seedlings,10,0.00203295,338.4
BN,244,-,+,-+,ARLU,4919,0.14,10,6.083333333,Adults_Y3,2,0.00040659,338.4
BN,244,-,+,-+,ARSO,59,0.752,10,6.083333333,Seedlings,2,0.033730159,338.4
BN,244,-,+,-+,ARSO,59,0.752,10,6.083333333,Adults_Y3,0,0,338.4
BN,244,-,+,-+,BASA,150,8.328,10,6.083333333,Seedlings,2,0.013333333,338.4
BN,244,-,+,-+,BASA,150,8.328,10,6.083333333,Adults_Y3,0,0,338.4
BN,244,-,+,-+,ERPU,6629,0.0689,10,6.083333333,Seedlings,4,0.000603421,338.4
BN,244,-,+,-+,ERPU,6629,0.0689,10,6.083333333,Adults_Y3,4,0.000603421,338.4
BN,244,-,+,-+,ERUM,494,2.164286,10,6.083333333,Seedlings,29,0.058742505,338.4
BN,244,-,+,-+,ERUM,494,2.164286,10,6.083333333,Adults_Y3,9,0.018230433,338.4
BN,244,-,+,-+,GAAR,230,3.92,10,6.083333333,Seedlings,4,0.017391304,338.4
BN,244,-,+,-+,GAAR,230,3.92,10,6.083333333,Adults_Y3,2,0.008695652,338.4
BN,244,-,+,-+,GETR,127,1.354558,10,6.083333333,Seedlings,3,0.023670054,338.4
BN,244,-,+,-+,GETR,127,1.354558,10,6.083333333,Adults_Y3,1,0.007890018,338.4
BN,244,-,+,-+,GEVI,36,8.68,10,6.083333333,Seedlings,2,0.056137569,338.4
BN,244,-,+,-+,GEVI,36,8.68,10,6.083333333,Adults_Y3,0,0,338.4
BN,244,-,+,-+,HEVI,5177,0.581626,10,6.083333333,Seedlings,141,0.02723502,338.4
BN,244,-,+,-+,HEVI,5177,0.581626,10,6.083333333,Adults_Y3,22,0.004249436,338.4
BN,244,-,+,-+,LIRU,138,31.084,10,6.083333333,Seedlings,10,0.072463768,338.4
BN,244,-,+,-+,LIRU,138,31.084,10,6.083333333,Adults_Y3,4,0.028985507,338.4
BN,244,-,+,-+,LOTR,37,3.652,10,6.083333333,Seedlings,1,0.026785714,338.4
BN,244,-,+,-+,LOTR,37,3.652,10,6.083333333,Adults_Y3,0,0,338.4
BN,244,-,+,-+,LUSE,78,20.92,10,6.083333333,Seedlings,7,0.08974359,338.4
BN,244,-,+,-+,LUSE,78,20.92,10,6.083333333,Adults_Y3,1,0.012820513,338.4
BN,244,-,+,-+,PEPR,926,0.046,10,6.083333333,Seedlings,1,0.001079501,338.4
BN,244,-,+,-+,PEPR,926,0.046,10,6.083333333,Adults_Y3,0,0,338.4
BN,244,-,+,-+,POGL,12587,0.0956,10,6.083333333,Seedlings,6,0.000476689,338.4
BN,244,-,+,-+,POGL,12587,0.0956,10,6.083333333,Adults_Y3,1,7.94E-05,338.4
BN,244,-,+,-+,ZIVE,290,1.375,10,6.083333333,Seedlings,12,0.041356793,338.4
BN,244,-,+,-+,ZIVE,290,1.375,10,6.083333333,Adults_Y3,4,0.013785598,338.4
BN,246,+,+,++,ACMI,1277,0.0884,65,35.41666667,Seedlings,19,0.014878622,338.4
BN,246,+,+,++,ACMI,1277,0.0884,65,35.41666667,Adults_Y3,1,0.000783085,338.4
BN,246,+,+,++,ANMI,1244,0.0441,65,35.41666667,Seedlings,0,0,338.4
