Site,Species,Seed_loss_percent,SeedSize_mg_log10
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
BF,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
KL,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
CW,GAAR,0,0.593286067
BF,ERUM,0,0.334453751
BF,ERUM,0,0.334453751
BF,ERUM,0,0.334453751
BN,ERUM,0,0.334453751
BN,ERUM,0,0.334453751
BN,ERUM,0,0.334453751
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
